I260425 10:51:14.073860 3222 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r61/1:/Table/5{8-9},rangefeed] 36  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:14.079315 967 15@kv/kvserver/storeliveness/support_manager.go:331 ⋮ [T1,Vsystem,n1,s1] 37  starting to heartbeat store {NodeID:3 StoreID:3}
I260425 10:51:14.105559 3383 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r24/1:/Table/2{0-1},rangefeed] 38  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:14.107460 3370 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r61/1:/Table/5{8-9},rangefeed] 39  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:14.156763 3278 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r13/1:/Table/{8-9},rangefeed] 40  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:14.157054 3419 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r79/1:/Table/7{6-7},rangefeed] 41  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:14.160437 1017 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r65/1:/Table/6{2-3},raft] 42  rejected lease request repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.114329977,0 pro=1777114274.114329977,0 acq=Request; current lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.114329977,0 pro=1777114274.114329977,0 acq=Request; err: cannot replace lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.114329977,0 pro=1777114274.114329977,0 acq=Request with repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.114329977,0 pro=1777114274.114329977,0 acq=Request: ‹proposed under invalid lease›
I260425 10:51:14.162054 3591 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r53/1:/Table/5{0-1},rangefeed] 43  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:14.179420 967 15@kv/kvserver/storeliveness/requester_state.go:425 ⋮ [T1,Vsystem,n1,s1] 44  received support from store {NodeID:3 StoreID:3}; old = {Target:{NodeID:3 StoreID:3} Epoch:1 Expiration:0,0}, new = {Target:{NodeID:3 StoreID:3} Epoch:1 Expiration:1777114277.079335080,0}
I260425 10:51:14.251420 1041 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r67/1:/Table/6{4-5},raft] 45  rejected lease request repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.231330618,0 pro=1777114274.231330618,0 acq=Request; current lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.231330618,0 pro=1777114274.231330618,0 acq=Request; err: cannot replace lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.231330618,0 pro=1777114274.231330618,0 acq=Request with repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.231330618,0 pro=1777114274.231330618,0 acq=Request: ‹proposed under invalid lease›
I260425 10:51:14.347458 1072 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r69/1:/Table/6{6-7},raft] 46  rejected lease request repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.321407327,0 pro=1777114274.321407327,0 acq=Request; current lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.321407327,0 pro=1777114274.321407327,0 acq=Request; err: cannot replace lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.321407327,0 pro=1777114274.321407327,0 acq=Request with repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.321407327,0 pro=1777114274.321407327,0 acq=Request: ‹proposed under invalid lease›
I260425 10:51:14.399247 1051 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r75/1:/Table/7{2-3},raft] 47  rejected lease request repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.355822101,0 pro=1777114274.355822101,0 acq=Request; current lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.355822101,0 pro=1777114274.355822101,0 acq=Request; err: cannot replace lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.355822101,0 pro=1777114274.355822101,0 acq=Request with repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.355822101,0 pro=1777114274.355822101,0 acq=Request: ‹proposed under invalid lease›
I260425 10:51:14.533200 1048 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r83/1:/{Table/80-Max},raft] 48  rejected lease request repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.499971143,0 pro=1777114274.499971143,0 acq=Request; current lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.499971143,0 pro=1777114274.499971143,0 acq=Request; err: cannot replace lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.499971143,0 pro=1777114274.499971143,0 acq=Request with repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.499971143,0 pro=1777114274.499971143,0 acq=Request: ‹proposed under invalid lease›
I260425 10:51:14.583471 1004 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r80/1:/Table/7{7-8},raft] 49  rejected lease request repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.542536356,0 pro=1777114274.542536356,0 acq=Request; current lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.542536356,0 pro=1777114274.542536356,0 acq=Request; err: cannot replace lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.542536356,0 pro=1777114274.542536356,0 acq=Request with repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114280.542536356,0 pro=1777114274.542536356,0 acq=Request: ‹proposed under invalid lease›
